image,name of stamp,price,day,month,year,class
dataset/images\70.jpg,MAHARAJA RANJIT SINGH 1780-1839,0.15,28,6,1966.0,70
dataset/images\71.jpg,ACHARYA MAHAVIR PRASAD DVIVEDI 1864-1938,0.15,15,5,1966.0,71
dataset/images\72.jpg,GOPAL KRISHNA GOKHALE 1866-1915,0.15,9,5,1966.0,72
dataset/images\73.jpg,KUNWAR SINGH 1777-1858,0.15,23,4,1966.0,73
dataset/images\74.jpg,B R AMBEDKAR. 1891-1956,0.15,14,4,1966.0,74
dataset/images\75.jpg,KAMBAR 9TH CENTURY A.D.,0.15,5,4,1966.0,75
dataset/images\76.jpg,JAI JAWAN,0.15,26,1,1966.0,76
dataset/images\77.jpg,LAL BAHADUR SHASTRI 1904-1966,0.15,26,1,1966.0,77
dataset/images\78.jpg,PACIFIC AREA TRAVEL ASSOCIATION,0.15,24,1,1966.0,78
dataset/images\79.jpg,Manikchand Vajpayee,5,27,12,2020.0,79
dataset/images\80.jpg,Salute to COVID-19 Warriors,10,24,12,2020.0,80
dataset/images\81.jpg,Salute to COVID-19 Warriors,10,24,12,2020.0,81
dataset/images\82.jpg,Salute to COVID-19 Warriors,10,24,12,2020.0,82
dataset/images\83.jpg,Salute to COVID-19 Warriors,10,24,12,2020.0,83
dataset/images\84.jpg,Mujib Year,5,17,12,2020.0,84
dataset/images\85.jpg,I.K. Gujral,5,4,12,2020.0,85
dataset/images\86.jpg,75 Years of The United Nations,5,23,10,2020.0,86
dataset/images\87.jpg,150th Birth Anniversary of Mahatma Gandhi,15,2,10,2020.0,87
dataset/images\88.jpg,150th Birth Anniversary of Mahatma Gandhi,5,2,10,2020.0,88
dataset/images\89.jpg,150th Birth Anniversary of Mahatma Gandhi,25,2,10,2020.0,89
dataset/images\90.jpg,150th Birth Anniversary of Mahatma Gandhi,5,2,10,2020.0,90
dataset/images\91.jpg,UNESCO World Heritage Sites in India-III,5,15,8,2020.0,91
dataset/images\92.jpg,UNESCO World Heritage Sites in India-III,5,15,8,2020.0,92
dataset/images\93.jpg,UNESCO World Heritage Sites in India-III,5,15,8,2020.0,93
dataset/images\94.jpg,UNESCO World Heritage Sites in India-III,5,15,8,2020.0,94
dataset/images\95.jpg,UNESCO World Heritage Sites in India-III,5,15,8,2020.0,95
dataset/images\96.jpg,Terracotta Temples of India,5,8,8,2020.0,96
dataset/images\97.jpg,Terracotta Temples of India,5,8,8,2020.0,97
dataset/images\98.jpg,Terracotta Temples of India,5,8,8,2020.0,98
dataset/images\99.jpg,Terracotta Temples of India,12,8,8,2020.0,99
dataset/images\100.jpg,Terracotta Temples of India,12,8,8,2020.0,100
dataset/images\101.jpg,Terracotta Temples of India,5,8,8,2020.0,101
dataset/images\102.jpg,Terracotta Temples of India,5,8,8,2020.0,102
dataset/images\103.jpg,Musical Instruments of Wandering Minstrels,5,25,6,2020.0,103
dataset/images\104.jpg,Musical Instruments of Wandering Minstrels,5,25,6,2020.0,104
dataset/images\105.jpg,Musical Instruments of Wandering Minstrels,5,25,6,2020.0,105
dataset/images\106.jpg,Musical Instruments of Wandering Minstrels,5,25,6,2020.0,106
dataset/images\107.jpg,Musical Instruments of Wandering Minstrels,5,25,6,2020.0,107
dataset/images\108.jpg,Musical Instruments of Wandering Minstrels,5,25,6,2020.0,108
dataset/images\109.jpg,UNESCO World Heritage Sites in India - II,12,16,3,2020.0,109
dataset/images\110.jpg,UNESCO World Heritage Sites in India - II,12,16,3,2020.0,110
dataset/images\111.jpg,UNESCO World Heritage Sites in India - II,12,16,3,2020.0,111
dataset/images\112.jpg,UNESCO World Heritage Sites in India - II,5,16,3,2020.0,112
dataset/images\113.jpg,UNESCO World Heritage Sites in India - II,5,16,3,2020.0,113
dataset/images\114.jpg,INDUSTRIAL CITY : JAMSHEDPUR,5,17,2,2020.0,114
dataset/images\115.jpg,4th Battalion (Outrams) The Rajputana Rifles,5,12,2,2020.0,115
dataset/images\116.jpg,Constitution of India,10,26,1,2020.0,116
dataset/images\117.jpg,Constitution of India,10,26,1,2020.0,117
dataset/images\118.jpg,100 Years of International Labour Organization,5,22,1,2020.0,118
dataset/images\119.jpg,Indica Emporia,5,14,1,2020.0,119
dataset/images\120.jpg,Timeless,5,14,1,2020.0,120
dataset/images\121.jpg,Mystical_Indian,5,14,1,2020.0,121
dataset/images\122.jpg,Embellishment,5,14,1,2020.0,122
dataset/images\123.jpg,7.Varanasi_Weaves,5,14,1,2020.0,123
dataset/images\124.jpg,The_Ambika_Jacket,5,14,1,2020.0,124
dataset/images\125.jpg,9.Classic_Jalabiya,5,14,1,2020.0,125
dataset/images\126.jpg,Indica Emporia,5,14,1,2020.0,126
dataset/images\127.jpg,Vastra,5,14,1,2020.0,127
dataset/images\128.jpg,Toda Embroidery,20,19,12,2019.0,128
dataset/images\129.jpg,Sujani,20,19,12,2019.0,129
dataset/images\130.jpg,Shamilami,20,19,12,2019.0,130
dataset/images\131.jpg,Phulkari,10,19,12,2019.0,131
dataset/images\132.jpg,Kutch Embroidery,10,19,12,2019.0,132
dataset/images\133.jpg,kasuti,10,19,12,2019.0,133
dataset/images\134.jpg,Kashmiri Embroidery,15,19,12,2019.0,134
dataset/images\135.jpg,Kantha,15,19,12,2019.0,135
dataset/images\136.jpg,kamal Kadhai,15,19,12,2019.0,136
dataset/images\137.jpg,Chikankari,10,19,12,2019.0,137
dataset/images\138.jpg,Chamba Rumal,20,19,12,2019.0,138
dataset/images\139.jpg,Applique,20,19,12,2019.0,139
dataset/images\140.jpg,Directorate of Revenue Intelligence,5,26,12,2019.0,140
dataset/images\141.jpg,The Force Multiplier,5,14,12,2019.0,141
dataset/images\142.jpg,Badrinath,15,29,11,2019.0,142
dataset/images\143.jpg,Kedarnath,15,29,11,2019.0,143
dataset/images\144.jpg,Gangotri,10,29,11,2019.0,144
dataset/images\145.jpg,Yamunotri,10,29,11,2019.0,145
dataset/images\146.jpg,M.M. Kuzhiveli,5,22,11,2019.0,146
dataset/images\147.jpg,250th Rajya Sabha Session,5,26,11,2019.0,147
dataset/images\148.jpg,Childrens Day,15,14,11,2019.0,148
dataset/images\149.jpg,Childrens Day,15,14,11,2019.0,149
dataset/images\150.jpg,550th Guru Nanak Dev Ji,10,9,11,2019.0,150
dataset/images\151.jpg,550th Guru Nanak Dev Ji,15,9,11,2019.0,151
dataset/images\152.jpg,550th Guru Nanak Dev Ji,10,9,11,2019.0,152
dataset/images\153.jpg,550th Guru Nanak Dev Ji,10,9,11,2019.0,153
dataset/images\154.jpg,550th Guru Nanak Dev Ji,10,9,11,2019.0,154
dataset/images\155.jpg,SIACHEN GLACIER,5,25,10,2019.0,155
dataset/images\156.jpg,Historical Gates of Indian Forts and Monuments,10,19,10,2019.0,156
dataset/images\157.jpg,Historical Gates of Indian Forts and Monuments,5,19,10,2019.0,157
dataset/images\158.jpg,Historical Gates of Indian Forts and Monuments,5,19,10,2019.0,158
dataset/images\159.jpg,Historical Gates of Indian Forts and Monuments,5,19,10,2019.0,159
dataset/images\160.jpg,Historical Gates of Indian Forts and Monuments,5,19,10,2019.0,160
dataset/images\161.jpg,Historical Gates of Indian Forts and Monuments,5,19,10,2019.0,161
dataset/images\162.jpg,Historical Gates of Indian Forts and Monuments,5,19,10,2019.0,162
dataset/images\163.jpg,Historical Gates of Indian Forts and Monuments,10,19,10,2019.0,163
dataset/images\164.jpg,Orange Blossom,25,15,10,2019.0,164
dataset/images\165.jpg,Orange Blossom,25,15,10,2019.0,165
dataset/images\166.jpg,Agarwood,25,15,10,2019.0,166
dataset/images\167.jpg,Agarwood,25,15,10,2019.0,167
dataset/images\168.jpg,THE SAMAJA,5,6,10,2019.0,168
dataset/images\169.jpg,Marshal of the Indian Air Force Arjan Singh DFC,5,9,10,2019.0,169
dataset/images\170.jpg,150th Birth Anniversary of Mahatma Gandhi,25,2,10,2019.0,170
dataset/images\171.jpg,150th Birth Anniversary of Mahatma Gandhi,25,2,10,2019.0,171
dataset/images\172.jpg,150th Birth Anniversary of Mahatma Gandhi,25,2,10,2019.0,172
dataset/images\173.jpg,150th Birth Anniversary of Mahatma Gandhi,25,2,10,2019.0,173
dataset/images\174.jpg,150th Birth Anniversary of Mahatma Gandhi,25,2,10,2019.0,174
dataset/images\175.jpg,150th Birth Anniversary of Mahatma Gandhi,25,2,10,2019.0,175
dataset/images\176.jpg,Indian Fashion - Concept to consumer : Series 3,10,6,9,2019.0,176
dataset/images\177.jpg,Indian Fashion - Concept to consumer : Series 3,15,6,9,2019.0,177
dataset/images\178.jpg,Indian Fashion - Concept to consumer : Series 3,15,6,9,2019.0,178
dataset/images\179.jpg,Indian Fashion - Concept to consumer : Series 3,10,6,9,2019.0,179
dataset/images\180.jpg,Yadav Ji Trikam Ji Acharya,5,30,8,2019.0,180
dataset/images\181.jpg,Swami Kuvalayananda,5,30,8,2019.0,181
dataset/images\182.jpg,Shastri Shankar Daji Pade,5,30,8,2019.0,182
dataset/images\183.jpg,Sambasivam pillai,5,30,8,2019.0,183
dataset/images\184.jpg,Raghavan Thirumulpad,5,30,8,2019.0,184
dataset/images\185.jpg,Mohammad Lakhnawi,5,30,8,2019.0,185
dataset/images\186.jpg,Mohammad Kabiruddin,5,30,8,2019.0,186
dataset/images\187.jpg,Maharishi Mahesh Yogi,5,30,8,2019.0,187
dataset/images\188.jpg,K G Saxena,5,30,8,2019.0,188
dataset/images\189.jpg,Dinshaw Mehta,5,30,8,2019.0,189
dataset/images\190.jpg,Brihaspati Dev Triguna,5,30,8,2019.0,190
dataset/images\191.jpg,Bhaskar Vishwananth Ghokale,5,30,8,2019.0,191
dataset/images\192.jpg,Calava Cunnan Chetty,5,24,8,2019.0,192
dataset/images\193.jpg,Indians in First World War,5,20,8,2019.0,193
dataset/images\194.jpg,Indians in First World War,5,20,8,2019.0,194
dataset/images\195.jpg,Indians in First World War,5,20,8,2019.0,195
dataset/images\196.jpg,Indians in First World War,5,20,8,2019.0,196
dataset/images\197.jpg,Indians in First World War,5,20,8,2019.0,197
dataset/images\198.jpg,Indians in First World War,5,20,8,2019.0,198
dataset/images\199.jpg,Indians in First World War,5,20,8,2019.0,199
dataset/images\200.jpg,Indians in First World War,5,20,8,2019.0,200
dataset/images\201.jpg,Indians in First World War,5,20,8,2019.0,201
dataset/images\202.jpg,Indians in First World War,5,20,8,2019.0,202
dataset/images\203.jpg,Indians in First World War,5,20,8,2019.0,203
dataset/images\204.jpg,Indians in First World War,5,20,8,2019.0,204
dataset/images\205.jpg,Indians in First World War,5,20,8,2019.0,205
dataset/images\206.jpg,Indians in First World War,5,20,8,2019.0,206
dataset/images\207.jpg,Indians in First World War,5,20,8,2019.0,207
dataset/images\208.jpg,Gandhian Heritage in Modern India,15,15,8,2019.0,208
dataset/images\209.jpg,Gandhian Heritage in Modern India,25,15,8,2019.0,209
dataset/images\210.jpg,Princess Suriratna,25,30,7,2019.0,210
dataset/images\211.jpg,Queen Heo,5,30,7,2019.0,211
dataset/images\212.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,212
dataset/images\213.jpg,Indian Perfume Sandalwood,25,1,8,2019.0,213
dataset/images\214.jpg,Indian Perfume Jasmine,25,1,8,2019.0,214
dataset/images\215.jpg,Indian Perfume Jasmine,25,1,8,2019.0,215
dataset/images\216.jpg,Fakir Mohan College,5,6,7,2019.0,216
dataset/images\217.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,217
dataset/images\218.jpg,AHIMSA PARMO DHARMA,15,17,6,2019.0,218
dataset/images\219.jpg,traditional,12,12,6,2019.0,219
dataset/images\220.jpg,SilverScreen,12,12,6,2019.0,220
dataset/images\221.jpg,PatharePrabhu,5,12,6,2019.0,221
dataset/images\222.jpg,Brahmika Sari,5,12,6,2019.0,222
dataset/images\223.jpg,Vedanta Desikan,5,2,5,2019.0,223
dataset/images\224.jpg,100 Years of Jallianwala Bagh Massacre,5,13,4,2019.0,224
dataset/images\225.jpg,100 Years of Jallianwala Bagh Massacre,25,13,4,2019.0,225
dataset/images\226.jpg,Punjab National Bank,5,12,4,2019.0,226
dataset/images\227.jpg,Ram Chand Paul,5,6,3,2019.0,227
dataset/images\228.jpg,Kubernath Ray,5,9,3,2019.0,228
dataset/images\229.jpg,IIT(BHU)(1919-2019),5,19,2,2019.0,229
dataset/images\230.jpg,Aero India,25,29,2,2019.0,230
dataset/images\231.jpg,Aero India,5,29,2,2019.0,231
dataset/images\232.jpg,Kumbh Mela,5,2,2,2019.0,232
dataset/images\233.jpg,CentralInstituteofPlasticsEngineeringTechnology,41,24,1,2019.0,233
dataset/images\234.jpg,CentralInstituteofPlasticsEngineeringTechnology,41,24,1,2019.0,234
dataset/images\235.jpg,Financial Inclusion,5,30,1,2019.0,235
dataset/images\236.jpg,Mahamati Prannath,5,25,1,2019.0,236
dataset/images\237.jpg,Handicrafts Of India,5,31,12,2018.0,237
dataset/images\238.jpg,Handicrafts Of India,5,31,12,2018.0,238
dataset/images\239.jpg,Handicrafts Of India,5,31,12,2018.0,239
dataset/images\240.jpg,Handicrafts Of India,5,31,12,2018.0,240
dataset/images\241.jpg,Handicrafts Of India,5,31,12,2018.0,241
dataset/images\242.jpg,PortBlair,12,30,12,2018.0,242
dataset/images\243.jpg,PortBlair,41,30,12,2018.0,243
dataset/images\244.jpg,PortBlair,22,30,12,2018.0,244
dataset/images\245.jpg,Indian Fashion - Through the ages: Series - I,15,31,12,2018.0,245
dataset/images\246.jpg,Indian Fashion - Through the ages: Series - I,5,31,12,2018.0,246
dataset/images\247.jpg,Indian Fashion - Through the ages: Series - I,5,31,12,2018.0,247
dataset/images\248.jpg,Indian Fashion - Through the ages: Series - I,5,31,12,2018.0,248
dataset/images\249.jpg,Hill Forts of Rajasthan,12,29,12,2018.0,249
dataset/images\250.jpg,Hill Forts of Rajasthan,5,29,12,2018.0,250
dataset/images\251.jpg,Hill Forts of Rajasthan,12,29,12,2018.0,251
dataset/images\252.jpg,Hill Forts of Rajasthan,5,29,12,2018.0,252
dataset/images\253.jpg,Hill Forts of Rajasthan,12,29,12,2018.0,253
dataset/images\254.jpg,Hill Forts of Rajasthan,5,29,12,2018.0,254
dataset/images\255.jpg,Maharaja Suheldev,5,29,12,2018.0,255
dataset/images\256.jpg,Paika Rebellion,5,24,12,2018.0,256
dataset/images\257.jpg,Kakaji & Pappaji,5,28,12,2018.0,257
dataset/images\258.jpg,Odisha Hockey Mens World Cup,5,28,11,2018.0,258
dataset/images\259.jpg,Odisha Hockey Mens World Cup,5,28,11,2018.0,259
dataset/images\260.jpg,Odisha Hockey Mens World Cup,5,28,11,2018.0,260
dataset/images\261.jpg,Odisha Hockey Mens World Cup,5,28,11,2018.0,261
dataset/images\262.jpg,Odisha Hockey Mens World Cup,5,28,11,2018.0,262
dataset/images\263.jpg,Rajkumar Shukla,5,18,12,2018.0,263
dataset/images\264.jpg,GulabRao Maharaj,5,19,12,2018.0,264
dataset/images\265.jpg,Ustad Sabri Khan,5,13,12,2018.0,265
dataset/images\266.jpg,National Police Memorial,10,22,12,2018.0,266
dataset/images\267.jpg,National Police Memorial,15,22,12,2018.0,267
dataset/images\268.jpg,National Police Memorial,10,22,12,2018.0,268
dataset/images\269.jpg,Utkal University,5,27,11,2018.0,269
dataset/images\270.jpg,Communal Harmony,15,14,11,2018.0,270
dataset/images\271.jpg,Communal Harmony,15,14,11,2018.0,271
dataset/images\272.jpg,3rd Battalion The Rajputana Rifles,5,3,11,2018.0,272
dataset/images\273.jpg,150th Birth Anniversary of Mahatma Gandhi,22,2,10,2018.0,273
dataset/images\274.jpg,150th Birth Anniversary of Mahatma Gandhi,25,2,10,2018.0,274
dataset/images\275.jpg,150th Birth Anniversary of Mahatma Gandhi,25,2,10,2018.0,275
dataset/images\276.jpg,150th Birth Anniversary of Mahatma Gandhi,12,2,10,2018.0,276
dataset/images\277.jpg,150th Birth Anniversary of Mahatma Gandhi,5,2,10,2018.0,277
dataset/images\278.jpg,150th Birth Anniversary of Mahatma Gandhi,41,2,10,2018.0,278
dataset/images\279.jpg,150th Birth Anniversary of Mahatma Gandhi,20,2,10,2018.0,279
dataset/images\280.jpg,Sant Ganinath,5,23,9,2018.0,280
dataset/images\281.jpg,"Hislop College, Nagpur",5,17,9,2018.0,281
dataset/images\282.jpg,India - Serbia: Joint Issue,5,15,9,2018.0,282
dataset/images\283.jpg,India - Serbia: Joint Issue,25,15,9,2018.0,283
dataset/images\284.jpg,Martyr Mahadevappa Mailar,5,3,9,2018.0,284
dataset/images\285.jpg,India-Armenia: Joint Issue,25,29,8,2018.0,285
dataset/images\286.jpg,India-Armenia: Joint Issue,5,29,8,2018.0,286
dataset/images\287.jpg,Patna University,5,25,8,2018.0,287
dataset/images\288.jpg,Holiday Destinations in India,15,15,8,2018.0,288
dataset/images\289.jpg,Holiday Destinations in India,15,15,8,2018.0,289
dataset/images\290.jpg,Geographical Indication (GI) Registered Handloom,5,7,8,2018.0,290
dataset/images\291.jpg,Geographical Indication (GI) Registered Handloom,5,7,8,2018.0,291
dataset/images\292.jpg,Geographical Indication (GI) Registered Handloom,5,7,8,2018.0,292
dataset/images\293.jpg,Geographical Indication (GI) Registered Handloom,5,7,8,2018.0,293
dataset/images\294.jpg,Geographical Indication (GI) Registered Handloom,5,7,8,2018.0,294
dataset/images\295.jpg,National Viral Hepatitis Control Programme,5,28,7,2018.0,295
dataset/images\296.jpg,India - South Africa: Joint Issue,5,26,7,2018.0,296
dataset/images\297.jpg,India - South Africa: Joint Issue,25,26,7,2018.0,297
dataset/images\298.jpg,Damodar Hari Chapekar,5,8,7,2018.0,298
dataset/images\299.jpg,M. L. Vasanthakumari,5,3,7,2018.0,299
dataset/images\300.jpg,The Institute of Chartered Accountants of India,22,1,7,2018.0,300
dataset/images\301.jpg,"Scott Christian College, Nagercoil",5,28,6,2018.0,301
dataset/images\302.jpg,"Dakshina Bharat Hindi Prachar Sabha, Madras",5,17,6,2018.0,302
dataset/images\303.jpg,Partnership between India and South Africa,25,7,6,2018.0,303
dataset/images\304.jpg,Partnership between India and South Africa,5,7,6,2018.0,304
dataset/images\305.jpg,World Environment Day,5,5,6,2018.0,305
dataset/images\306.jpg,World Environment Day,5,5,6,2018.0,306
dataset/images\307.jpg,World Environment Day,5,5,6,2018.0,307
dataset/images\308.jpg,World Environment Day,5,5,6,2018.0,308
dataset/images\309.jpg,The International Association of Lions Clubs,15,25,5,2018.0,309
dataset/images\310.jpg,C. Kesavan,5,23,5,2018.0,310
dataset/images\311.jpg,M. V. ARUNACHALAM,5,15,5,2018.0,311
dataset/images\312.jpg,PRITHVIRAJ CHAUHAN,5,28,4,2018.0,312
dataset/images\313.jpg,PRITHVIRAJ CHAUHAN,15,28,4,2018.0,313
dataset/images\314.jpg,PRITHVIRAJ CHAUHAN,5,28,4,2018.0,314
dataset/images\315.jpg,PRITHVIRAJ CHAUHAN,15,28,4,2018.0,315
dataset/images\316.jpg,SAFDARJUNG HOSPITAL,5,27,4,2018.0,316
dataset/images\317.jpg,Hemwati Nandan Bahuguna,5,24,4,2018.0,317
dataset/images\318.jpg,Goan Tiatr,5,17,4,2018.0,318
dataset/images\319.jpg,Goan Tiatr,25,17,4,2018.0,319
dataset/images\320.jpg,DEFENCE RESEARCH AND DEVELOPMENT ORGANISATION,10,11,4,2018.0,320
dataset/images\321.jpg,THE SOLAR SYSTEM,5,20,3,2018.0,321
dataset/images\322.jpg,THE SOLAR SYSTEM,5,20,3,2018.0,322
dataset/images\323.jpg,THE SOLAR SYSTEM,5,20,3,2018.0,323
dataset/images\324.jpg,THE SOLAR SYSTEM,5,20,3,2018.0,324
dataset/images\325.jpg,THE SOLAR SYSTEM,5,20,3,2018.0,325
dataset/images\326.jpg,THE SOLAR SYSTEM,5,20,3,2018.0,326
dataset/images\327.jpg,THE SOLAR SYSTEM,5,20,3,2018.0,327
dataset/images\328.jpg,THE SOLAR SYSTEM,5,20,3,2018.0,328
dataset/images\329.jpg,CENTRAL INDUSTRIAL SECURITY FORCE,5,9,3,2018.0,329
dataset/images\330.jpg,b Nagi Reddi,5,23,2,2018.0,330
